country_name,year,TEdu
Australia,2008,41.99683
Australia,2009,44.778488
Australia,2010,44.374836
Australia,2011,44.615528
Australia,2012,47.231079
Australia,2013,45.745182
Australia,2014,48.13139
Australia,2015,48.466274
Australia,2016,49.30521
Australia,2017,51.989063
Australia,2018,51.393173
Australia,2019,52.478458
Austria,2008,32.680725
Austria,2009,33.408676
Austria,2010,33.863789
Austria,2011,34.808361
Austria,2012,36.127834
Austria,2013,38.666092
Austria,2014,38.403149
Austria,2015,38.626846
Austria,2016,39.671021
Austria,2017,40.324657
Austria,2018,40.458271
Austria,2019,41.610401
Belgium,2008,42.271435
Belgium,2009,42.484257
Belgium,2010,43.801159
Belgium,2011,42.455688
Belgium,2012,42.989902
Belgium,2013,42.663147
Belgium,2014,44.239079
Belgium,2015,43.144318
Belgium,2016,44.311111
Belgium,2017,45.725086
Belgium,2018,47.397144
Belgium,2019,47.282982
Canada,2008,55.619267
Canada,2009,55.780476
Canada,2010,56.169838
Canada,2011,56.40131
Canada,2012,57.056797
Canada,2013,57.603394
Canada,2014,57.725277
Canada,2015,59.182831
Canada,2016,60.582603
Canada,2017,60.916767
Canada,2018,61.754246
Canada,2019,62.965115
Czechia,2008,17.674837
Czechia,2009,20.240141
Czechia,2010,22.630354
Czechia,2011,25.124683
Czechia,2012,27.832432
Czechia,2013,29.195036
Czechia,2014,29.88735
Czechia,2015,31.010311
Czechia,2016,32.564495
Czechia,2017,33.821026
Czechia,2018,33.328793
Czechia,2019,32.580391
Denmark,2008,36.165295
Denmark,2009,37.435608
Denmark,2010,37.608952
Denmark,2011,38.600784
Denmark,2012,40.192459
Denmark,2013,40.929459
Denmark,2014,41.623554
Denmark,2015,43.043034
Denmark,2016,44.594067
Denmark,2017,45.537395
Denmark,2018,45.83231
Denmark,2019,47.097672
Finland,2008,38.289055
Finland,2009,39.388084
Finland,2010,39.207012
Finland,2011,39.377258
Finland,2012,39.749657
Finland,2013,39.992779
Finland,2014,40.308151
Finland,2015,40.524899
Finland,2016,41.13372
Finland,2017,41.253643
Finland,2018,41.313869
Finland,2019,41.820766
France,2008,40.825264
France,2009,43.149895
France,2010,42.87175
France,2011,42.988277
France,2012,42.909988
France,2013,44.055721
France,2014,44.726288
France,2015,44.687599
France,2016,44.036968
France,2017,44.34428
France,2018,46.937691
France,2019,48.052528
Germany,2008,23.916872
Germany,2009,25.655298
Germany,2010,26.133959
Germany,2011,27.67141
Germany,2012,28.956329
Germany,2013,29.995255
Germany,2014,28.422802
Germany,2015,29.588667
Germany,2016,30.527618
Germany,2017,31.308737
Germany,2018,32.281734
Germany,2019,33.260235
Greece,2008,28.454678
Greece,2009,29.599367
Greece,2010,31.15996
Greece,2011,32.736923
Greece,2012,34.977001
Greece,2013,37.168961
Greece,2014,38.66687
Greece,2015,40.063866
Greece,2016,40.979172
Greece,2017,42.479965
Greece,2018,42.821678
Greece,2019,42.406635
Hungary,2008,23.960701
Hungary,2009,25.0688
Hungary,2010,26.019491
Hungary,2011,28.107714
Hungary,2012,30.430923
Hungary,2013,30.876373
Hungary,2014,32.109055
Hungary,2015,32.12635
Hungary,2016,30.400248
Hungary,2017,30.162258
Hungary,2018,30.576908
Hungary,2019,30.589085
ISL,2008,33.488125
ISL,2009,35.674942
ISL,2010,34.048439
ISL,2011,37.75489
ISL,2012,36.48513
ISL,2013,37.768463
ISL,2014,38.405033
ISL,2015,37.672207
ISL,2016,40.021423
ISL,2017,42.677822
ISL,2018,42.116936
ISL,2019,42.176826
Ireland,2008,45.064747
Ireland,2009,47.530376
Ireland,2010,48.32497
Ireland,2011,47.42931
Ireland,2012,49.205013
Ireland,2013,51.073551
Ireland,2014,50.768299
Ireland,2015,52.004166
Ireland,2016,53.430691
Ireland,2017,53.473541
Ireland,2018,56.174488
Ireland,2019,55.44936
Italy,2008,19.90484
Italy,2009,20.160688
Italy,2010,20.719744
Italy,2011,20.983423
Italy,2012,22.250719
Italy,2013,22.744907
Italy,2014,24.158854
Italy,2015,25.149963
Italy,2016,25.584146
Italy,2017,26.816479
Italy,2018,27.863623
Italy,2019,27.931559
Japan,2008,55.060974
Japan,2009,55.667507
Japan,2010,56.70573
Japan,2011,58.721333
Japan,2012,58.554874
Japan,2013,58.368496
Japan,2014,58.585857
Japan,2015,59.646538
Japan,2016,60.120392
Japan,2017,60.426178
Japan,2018,60.730949
Japan,2019,61.514194
KOR,2008,57.842369
KOR,2009,60.575958
KOR,2010,61.449047
KOR,2011,63.734528
KOR,2012,65.603264
KOR,2013,67.088554
KOR,2014,67.665947
KOR,2015,68.861946
KOR,2016,69.851555
KOR,2017,69.752068
KOR,2018,69.574219
KOR,2019,69.802818
Luxembourg,2008,38.727974
Luxembourg,2009,44.463192
Luxembourg,2010,44.22842
Luxembourg,2011,46.64621
Luxembourg,2012,49.882286
Luxembourg,2013,48.131443
Luxembourg,2014,52.928135
Luxembourg,2015,49.945854
Luxembourg,2016,51.431648
Luxembourg,2017,51.395588
Luxembourg,2018,54.780186
Luxembourg,2019,54.989532
MEX,2008,16.384148
MEX,2009,17.244875
MEX,2010,17.700443
MEX,2011,18.792442
MEX,2012,20.029097
MEX,2013,20.856949
MEX,2014,20.312202
MEX,2015,20.806568
MEX,2016,21.791378
MEX,2017,22.555721
MEX,2018,23.359127
MEX,2019,23.587111
Netherlands,2008,39.766335
Netherlands,2009,40.122009
Netherlands,2010,40.803711
Netherlands,2011,39.784946
Netherlands,2012,43.036243
Netherlands,2013,42.863594
Netherlands,2014,44.287262
Netherlands,2015,45.087276
Netherlands,2016,45.223412
Netherlands,2017,46.594383
Netherlands,2018,47.603172
Netherlands,2019,49.103264
New Zealand,2008,42.77129033
New Zealand,2009,42.77129033
New Zealand,2010,42.77129033
New Zealand,2011,42.77129033
New Zealand,2012,42.77129033
New Zealand,2013,42.77129033
New Zealand,2014,40.402225
New Zealand,2015,39.066757
New Zealand,2016,43.396225
New Zealand,2017,44.158596
New Zealand,2018,45.811745
New Zealand,2019,43.792194
Norway,2008,45.578697
Norway,2009,46.829773
Norway,2010,47.255039
Norway,2011,46.807133
Norway,2012,45.018452
Norway,2013,46.648712
Norway,2014,49.008167
Norway,2015,48.138676
Norway,2016,48.614609
Norway,2017,48.337029
Norway,2018,48.211601
Norway,2019,48.658932
Poland,2008,32.133198
Poland,2009,35.449848
Poland,2010,37.126976
Poland,2011,38.998249
Poland,2012,40.798927
Poland,2013,41.82151
Poland,2014,42.60154
Poland,2015,43.193764
Poland,2016,43.47826
Poland,2017,43.526325
Poland,2018,43.523716
Poland,2019,43.484364
Portugal,2008,23.173708
Portugal,2009,23.341423
Portugal,2010,24.804928
Portugal,2011,26.924166
Portugal,2012,28.331631
Portugal,2013,29.313473
Portugal,2014,31.439877
Portugal,2015,33.139576
Portugal,2016,34.969795
Portugal,2017,34.031322
Portugal,2018,35.078072
Portugal,2019,37.36721
Romania,2008,18.8
Romania,2009,19.5
Romania,2010,20.7
Romania,2011,22.5
Romania,2012,23.6
Romania,2013,24.4
Romania,2014,25.4
Romania,2015,25.5
Romania,2016,24.8
Romania,2017,25.6
Romania,2018,24.9
Romania,2019,25.5
Slovenia,2008,30
Slovenia,2009,30.4
Slovenia,2010,31.3
Slovenia,2011,33.8
Slovenia,2012,35.3
Slovenia,2013,37.4
Slovenia,2014,38
Slovenia,2015,40.8
Slovenia,2016,43
Slovenia,2017,44.5
Slovenia,2018,40.7
Slovenia,2019,44.1
Slovakia,2008,18.438622
Slovakia,2009,20.587223
Slovakia,2010,24.029381
Slovakia,2011,25.505198
Slovakia,2012,26.97694
Slovakia,2013,29.674646
Slovakia,2014,29.826096
Slovakia,2015,31.312998
Slovakia,2016,33.372261
Slovakia,2017,35.065048
Slovakia,2018,37.208523
Slovakia,2019,39.158154
Spain,2008,40.047447
Spain,2009,39.458729
Spain,2010,40.312317
Spain,2011,40.311493
Spain,2012,40.386406
Spain,2013,41.089592
Spain,2014,41.477402
Spain,2015,40.959778
Spain,2016,40.980919
Spain,2017,42.644691
Spain,2018,44.259609
Spain,2019,46.508266
Sweden,2008,40.831505
Sweden,2009,42.351131
Sweden,2010,42.23127
Sweden,2011,42.86599
Sweden,2012,43.473869
Sweden,2013,44.817905
Sweden,2014,45.978123
Sweden,2015,46.408928
Sweden,2016,47.215698
Sweden,2017,47.388306
Sweden,2018,47.530075
Sweden,2019,48.373196
CHE,2008,38.482616
CHE,2009,39.979767
CHE,2010,37.405544
CHE,2011,38.016293
CHE,2012,39.260506
CHE,2013,41.891548
CHE,2014,44.214348
CHE,2015,46.502586
CHE,2016,48.844658
CHE,2017,50.136665
CHE,2018,51.206909
CHE,2019,52.695705
TUR,2008,15.463108
TUR,2009,16.639408
TUR,2010,17.447386
TUR,2011,18.87298
TUR,2012,20.998264
TUR,2013,22.456688
TUR,2014,24.793388
TUR,2015,27.517448
TUR,2016,30.456598
TUR,2017,31.588659
TUR,2018,33.280041
TUR,2019,35.325356
United Kingdom,2008,43.337868
United Kingdom,2009,45.283749
United Kingdom,2010,46.046906
United Kingdom,2011,46.910782
United Kingdom,2012,47.860847
United Kingdom,2013,48.31358
United Kingdom,2014,49.185982
United Kingdom,2015,49.943413
United Kingdom,2016,51.775383
United Kingdom,2017,51.624851
United Kingdom,2018,50.752552
United Kingdom,2019,51.809521
USA,2008,41.564896
USA,2009,41.056328
USA,2010,42.310982
USA,2011,43.132984
USA,2012,44.042595
USA,2013,44.779469
USA,2014,45.663815
USA,2015,46.517712
USA,2016,47.521809
USA,2017,47.757
USA,2018,49.373737
USA,2019,50.380188
Argentina,2008,19.261948
Argentina,2009,19.39183
Argentina,2010,20.616898
Argentina,2011,19.9783
Argentina,2012,19.898472
Argentina,2013,19.331865
Argentina,2014,18.801071
Argentina,2015,19.1981457
Argentina,2016,19.1981457
Argentina,2017,18.388876
Argentina,2018,17.45554
Argentina,2019,18.856657
Brazil,2008,11.000713
Brazil,2009,11.575587
Brazil,2010,16.19632964
Brazil,2011,12.742485
Brazil,2012,14.51143
Brazil,2013,15.2918
Brazil,2014,16.276585
Brazil,2015,16.62822
Brazil,2016,19.172213
Brazil,2017,19.101683
Brazil,2018,20.827681
Brazil,2019,21.031229
Chile,2009,21.646658
Chile,2010,22
Chile,2011,22.483852
Chile,2012,24.878166
Chile,2013,27.27248
Chile,2014,28.5735265
Chile,2015,29.874573
Chile,2016,31.80048
Chile,2017,33.726387
Chile,2018,35
Chile,2019,36
CHN,2010,17.948812
Estonia,2008,35.746883
Estonia,2009,36.644875
Estonia,2010,38.010132
Estonia,2011,38.927837
Estonia,2012,40.079975
Estonia,2013,40.439819
Estonia,2014,40.421608
Estonia,2015,40.508533
Estonia,2016,41.048111
Estonia,2017,43.041157
Estonia,2018,43.633705
Estonia,2019,42.760071
IND,2011,13.899584
IND,2012,9.6421013
IND,2018,17.586313
IND,2019,19.491144
IDN,2008,7.8547144
IDN,2009,9.0847845
IDN,2010,9.6603518
IDN,2011,10.275131
IDN,2012,11.456944
IDN,2013,11.93277
IDN,2014,12.44546
IDN,2015,13.734091
IDN,2016,15.069039
IDN,2017,16.130028
IDN,2018,17.335848
IDN,2019,17.468817
Israel,2008,42.284912
Israel,2009,42.920982
Israel,2010,44.216198
Israel,2011,45.042313
Israel,2012,44.498508
Israel,2013,44.848808
Israel,2014,46.005543
Israel,2015,45.897861
Israel,2016,47.449234
Israel,2017,48.028301
Israel,2018,47.1143
Israel,2019,47.04248
Russian Federation,2009,52
Russian Federation,2010,52.537052
Russian Federation,2011,53.268311
Russian Federation,2012,53.534069
Russian Federation,2013,54.66906
Russian Federation,2014,55.64846
Russian Federation,2015,56.2855
Russian Federation,2016,57.57906
Russian Federation,2017,62.657864
Russian Federation,2018,62.09024
Russian Federation,2019,62
SVN,2008,30.041327
SVN,2009,30.383877
SVN,2010,31.307655
SVN,2011,33.815281
SVN,2012,35.340069
SVN,2013,37.393593
SVN,2014,38.080215
SVN,2015,40.758549
SVN,2016,42.977364
SVN,2017,44.566971
SVN,2018,40.713264
SVN,2019,44.105736
South Africa,2009,6
South Africa,2010,6.4036593
South Africa,2011,6.5621829
South Africa,2012,8.682601
South Africa,2013,11.42107
South Africa,2014,11.799505
South Africa,2015,11.545781
South Africa,2016,12.457
South Africa,2017,14.820914
South Africa,2018,14.292954
South Africa,2019,14.487103
OAVG,2008,35.17839
OAVG,2009,36.260694
OAVG,2010,37.356374
OAVG,2011,37.897794
OAVG,2012,39.620944
OAVG,2013,40.167011
OAVG,2014,41.050865
OAVG,2015,41.31048
OAVG,2016,42.748177
OAVG,2017,43.171617
OAVG,2018,44.000053
OAVG,2019,44.766996
Latvia,2008,28.819571
Latvia,2009,31.628628
Latvia,2010,34.697613
Latvia,2011,35.106369
Latvia,2012,38.724171
Latvia,2013,40.700375
Latvia,2014,39.436726
Latvia,2015,39.870365
Latvia,2016,42.097309
Latvia,2017,41.608852
Latvia,2018,41.648941
Latvia,2019,43.811146
Colombia,2014,27.735731
Colombia,2015,27.445988
Colombia,2016,28.074512
Colombia,2017,28.106581
Colombia,2018,28.959703
Colombia,2019,29.873518
Lithuania,2008,41.594246
Lithuania,2009,43.724075
Lithuania,2010,46.317448
Lithuania,2011,48.213768
Lithuania,2012,48.577328
Lithuania,2013,50.487457
Lithuania,2014,52.552208
Lithuania,2015,54.769646
Lithuania,2016,54.926018
Lithuania,2017,55.625957
Lithuania,2018,55.581402
Lithuania,2019,55.187374
CRI,2008,25.61059
CRI,2009,29.029856
CRI,2010,26.131706
CRI,2011,25.650885
CRI,2012,28.863514
CRI,2013,28.275383
CRI,2014,28.704456
CRI,2015,28.331566
CRI,2016,28.922903
CRI,2017,28.004108
CRI,2018,27.815552
CRI,2019,31.346508
G20,2010,33.693587
G20,2011,32.914764
G20,2012,33.718792
G20,2018,38.640569
G20,2019,38.027627
