"","country_name","year","country_code.x","region","income_group","HET","rd","country_number","FDI","ICT","Skills","Industry_activity","Access_to_finance","CPI","GDP","GFCF","EX"
"1","Argentina",2008,"ARG","Latin America & Caribbean","Upper middle income",9.32791355217619,0.470550000667572,1,2.6598393469,0.5498857498,0.7276761532,0.5102844238,0.3793200552,8.5818798098,9078.9708966647,19.0101609779701,22.0609003826242
"2","Argentina",2009,"ARG","Latin America & Caribbean","Upper middle income",9.02967995248663,0.583980023860931,1,1.1943055922,0.4524259567,0.7166147232,0.5923501253,0.3688324094,6.269928353,8267.5399466075,15.581752639827,19.5609850560818
"3","Argentina",2010,"ARG","Latin America & Caribbean","Upper middle income",7.68410566375014,0.561039984226227,1,2.657222247,0.3432689905,0.7159380317,0.5910916924,0.3467112482,10.4604832667,10376.7921783223,16.6414661565525,18.9338234053709
"4","Argentina",2011,"ARG","Latin America & Caribbean","Upper middle income",7.32119032482309,0.565970003604889,1,2.0446597783,0.3730836809,0.7023761868,0.59797436,0.3442650139,9.7783932038,12768.5146430814,17.2482847013515,18.4492091453155
"5","Argentina",2012,"ARG","Latin America & Caribbean","Upper middle income",6.63636508254823,0.634909987449646,1,2.6355554691,0.4151439667,0.7110338211,0.5546389818,0.3853029907,10.0431232984,13859.3117311188,15.8575254186347,16.2378594620246
"6","Argentina",2013,"ARG","Latin America & Caribbean","Upper middle income",7.45807793886144,0.618489980697632,1,1.6014031204,0.527130425,0.6922118068,0.615570426,0.3973580897,10.6184554022,14469.0038500261,16.2895111851898,14.6171733884386
"7","Argentina",2014,"ARG","Latin America & Caribbean","Upper middle income",7.06113037765277,0.593959987163544,1,0.8932783179,0.5141222477,0.6804417968,0.5665128231,0.362510711,21.3614842756,13241.3933847387,15.9799540764527,14.4054785893756
"8","Argentina",2015,"ARG","Latin America & Caribbean","Upper middle income",9.22569178201485,0.622619986534119,1,1.8233734909,0.5136862993,0.6574679017,0.5395867825,0.3015550375,21.4852426895,14908.6212968586,15.5647450770354,10.7056520504538
"9","Argentina",2016,"ARG","Latin America & Caribbean","Upper middle income",8.98239130251102,0.558149993419647,1,0.5847489446,0.5289265513,0.6595480442,0.5573641658,0.3123105764,40.4958278565,12767.4553542445,14.2723627542237,12.5270951690009
"10","Argentina",2017,"ARG","Latin America & Caribbean","Upper middle income",9.2054192542743,0.556309998035431,1,1.7893650328,0.4206654727,0.5827596188,0.5232604742,0.3241686225,25.6563533372,14609.7833696004,15.1621987548244,11.3202833596733
"11","Argentina",2018,"ARG","Latin America & Caribbean","Upper middle income",5.40298410981277,0.494349986314774,1,2.2635192666,0.5351663828,0.5910117626,0.5480539203,0.3616009951,34.150205558,11816.6495369855,15.2510495001607,14.4366857499034
"12","Argentina",2019,"ARG","Latin America & Caribbean","Upper middle income",5.21279058881723,0.457130014896393,1,1.4958206522,0.5118991137,0.5881415009,0.4423087537,0.3745823205,52.8042079613,10006.6931106198,14.1990461422681,17.9248783778462
"13","Armenia",2008,"ARM","Europe & Central Asia","Upper middle income",1.57333128290795,0.224380001425743,2,7.5883134371,0.1213865578,0.5222133398,0.4731757343,0.4620488584,9.1152168672,4168.5917559908,46.8333157896094,14.2657295739767
"14","Armenia",2009,"ARM","Europe & Central Asia","Upper middle income",2.84280207545875,0.29093000292778,2,8.2412854632,0.0973731577,0.5351837873,0.3786721528,0.4694562256,3.5157139223,3111.1456974399,42.8838785721266,14.6709007461363
"15","Armenia",2010,"ARM","Europe & Central Asia","Upper middle income",2.3244279905282,0.241390004754066,2,5.3600115706,0.0976676792,0.529188633,0.326987654,0.5028948188,8.1521774282,3351.797590764,39.3751094408429,19.7484153168252
"16","Armenia",2011,"ARM","Europe & Central Asia","Upper middle income",3.37333605951397,0.270139992237091,2,6.0395080226,0.1457128972,0.5284011364,0.4166862369,0.5256367922,7.4940345547,3692.6822243174,30.7367448594284,22.5231882640131
"17","Armenia",2012,"ARM","Europe & Central Asia","Upper middle income",2.85090135940224,0.238529995083809,2,4.6767275937,0.1794798672,0.53487885,0.4664086699,0.5847538114,2.4924336835,3643.7154044693,23.5988356156116,27.5618114828439
"18","Armenia",2013,"ARM","Europe & Central Asia","Upper middle income",3.02784829241324,0.222159996628761,2,3.1119318556,0.1633221805,0.5245376229,0.5406931043,0.6058268547,5.7136963696,3833.1570714342,21.2125120032579,28.3534851384818
"19","Armenia",2014,"ARM","Europe & Central Asia","Upper middle income",3.02163379158599,0.241510003805161,2,3.5021141564,0.3153877556,0.5237816572,0.3752299249,0.5892304182,3.0197689345,4017.2299125153,19.9950573934454,28.5603816555446
"20","Armenia",2015,"ARM","Europe & Central Asia","Upper middle income",5.65181437686726,0.250019997358322,2,1.7447370163,0.4483012557,0.5225505829,0.3519973755,0.6052242517,3.695839626,3666.1418253608,20.6125615954784,29.7253912120334
"21","Armenia",2016,"ARM","Europe & Central Asia","Upper middle income",6.13769143045383,0.233050003647804,2,3.1645078965,0.5034529567,0.5026635528,0.3625617623,0.5920460224,-1.4242042625,3679.9523491043,17.357719658433,33.7442798606396
"22","Armenia",2017,"ARM","Europe & Central Asia","Upper middle income",7.55086158230387,0.227880001068115,2,2.1942854753,0.5049704909,0.4420422614,0.3254425824,0.6349727511,1.1892745864,4041.9950723139,17.6483759985837,38.2160456550464
"23","Armenia",2018,"ARM","Europe & Central Asia","Upper middle income",7.05559836933075,0.188759997487068,2,2.1418062729,0.5272372961,0.4495145977,0.370873034,0.6451714039,2.4860014842,4391.9232736408,16.7409108725174,39.3928940286073
